,index,GEOID,FULL_ADDRESS,MUNICIPALITY,COUNTY,STATE,ZIP_CODE,LATITUDE,LONGITUDE,simulated_income,simulated_commute_car
0,0,42003290100,2006 PLATEAU ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.3927612,-79.989251,51461,1
1,11,42003270100,3701 CALIFORNIA AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4826334,-80.04292209999998,77463,1
2,30,42003151700,741 EXETER ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.4205789,-79.9314677,232231,1
3,36,42003191600,1313 ALTON ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15216.0,40.41358220000001,-80.0206794,64992,1
4,39,42003140300,5615 MARLBOROUGH RD,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.438851899999996,-79.925791,126634,1
5,46,42003111500,6226 EAST LIBERTY BLVD,PITTSBURGH,ALLEGHENY COUNTY,PA,15206.0,40.4637491,-79.9200705,37010,1
6,47,42003151700,40 EXETER ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.4205789,-79.9314677,159579,1
7,63,42003191400,144 PROSPECT ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.428747200000004,-80.00943170000001,100762,1
8,73,42003090300,4060 HOWLEY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.463938,-79.95423199999999,189546,1
9,90,42003562700,955 W NORTH AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15233.0,40.4531415,-80.01817750000001,186380,1
10,91,42003270100,3627 CALIFORNIA AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.480749700000004,-80.04222779999999,45747,1
11,116,42003160800,3118 MISSION ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15203.0,40.420386799999996,-79.965552,32486,1
12,120,42003562900,211 COURTLAND ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15207.0,40.4058347,-79.945985,17168,1
13,132,42003563000,3906 HAVEN ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15204.0,40.460499799999994,-80.07944350000001,35768,1
14,133,42003130300,7301 SUSQUEHANNA ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15208.0,40.452906799999994,-79.8957351,114068,1
15,134,42003310200,4925 BARBERRY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15207.0,40.375947700000005,-79.914587,64946,1
16,137,42003190300,239 LABELLE ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.4338167,-80.0158744,43507,1
17,139,42003562400,205 CLIMAX ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.419829,-80.00343070000001,19232,1
18,142,42003140800,2324 TILBURY AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.429573600000005,-79.91928659999999,98038,1
19,152,42003040600,3459 PARKVIEW AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15213.0,40.4352217,-79.9524947,21467,1
20,162,42003191400,215 GRANDVIEW AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.4323675,-80.00923809999999,230911,1
21,170,42003191400,227 W SYCAMORE ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.431653600000004,-80.0096471,196463,1
22,181,42003141400,2609 TILBURY AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.427474600000004,-79.9179115,18637,1
23,183,42003191400,148 GRAY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.427004100000005,-80.0112139,147722,1
24,196,42003101700,400 N MATHILDA ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.4678063,-79.94526309999999,37546,1
25,220,42003190300,415 OLYMPIA RD,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.4309152,-80.0169986,15058,1
26,222,42003140200,1174 MURRAY HILL AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.4472481,-79.926978,116137,1
27,229,42003180700,28 ESTELLA AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.424687799999994,-80.00129390000001,204802,1
28,247,42003191500,706 SOUTHERN AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.419499,-80.0136107,33994,1
29,248,42003101800,1536 TRINITY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15206.0,40.485119399999995,-79.9328667,72520,1
