OBJECTID,Company_Name,Address,City,State,ZIP_Code,NAICS_1,NAICS_1_Description,Latitude,Longitude,price score
1,5th Avenue Food Market,1701 5th Ave,Pittsburgh,PA,15219,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.438553,-79.982357,2
2,Aden Market,1318 Federal St # 1,Pittsburgh,PA,15212,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.457247,-80.006974,2
3,ALDI,2628 E Carson St,Pittsburgh,PA,15203,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.426989,-79.96741,1
4,ALDI,5200 Penn Ave,Pittsburgh,PA,15224,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.464217,-79.939334,1
5,ALDI,5631 Baum Blvd,Pittsburgh,PA,15206,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.467565,-79.922069,1
6,Bloomfield Shure Save,4401 Liberty Ave,Pittsburgh,PA,15224,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.463737,-79.952945,1
7,Bombay Food Market,4605 Centre Ave,Pittsburgh,PA,15213,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.452097,-79.951764,1
9,Bryant Street Market,5901 Bryant St # 12,Pittsburgh,PA,15206,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.475783,-79.919563,2
11,Donatelli's Italian Food,4711 Liberty Ave,Bloomfield,PA,15224,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.462062,-79.949411,1
12,East End Food,7516 Meade St,Pittsburgh,PA,15208,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.448193,-79.895473,2
13,Edna's Marketing & Deli,529 Mount Pleasant Rd,Pittsburgh,PA,15214,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.478108,-80.000358,2
14,Everest Grocery Store,1810 Brownsville Rd,Pittsburgh,PA,15210,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.39691,-79.987919,1
16,Food Lion,1411 Beaver Ave,Pittsburgh,PA,15233,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.453435,-80.029809,2
17,Food Shoppe,5878 Northumberland St,Pittsburgh,PA,15217,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.441781,-79.920149,1
18,Giant Eagle,755 Beechnut Dr,Crafton,PA,15205,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.453906,-80.084539,3
19,Giant Eagle,1165 Mckinney Ln # 1007,Pittsburgh,PA,15220,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.423698,-80.035956,3
20,Giant Eagle,1901 Murray Ave,Pittsburgh,PA,15217,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.435885,-79.922753,3
21,Giant Eagle,2021 Wharton St,Pittsburgh,PA,15203,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.431124,-79.976656,3
22,Giant Eagle,318-320 Cedar Ave,Pittsburgh,PA,15212,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.460458,-80.009588,3
23,Giant Eagle,4250 Murray Ave,Pittsburgh,PA,15217,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,40.422266,-79.929478,3
