,origin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,5.315472854296378,7.095998903277119,7.50936103205869,2.2091018419559156,1.0901764336104653,7.782012683253177,5.830767866537421,1.4798366618199594,5.982276145293516,6.52757209477177,6.1761714688423,7.452135450971619,3.4712358534140293,8.897896782739094,6.931780885331875,5.998497261817473,1.141293325214063,10.287282182965274,4.255826715713688,3.7454158485258966,5.693906663601227,5.339366215342936,3.261860296767619,3.778071600780444,9.814728605101056,1.171617894084946,3.9021564223014815,8.484036054117421,8.648153332007738,4.159338093048496,9.506261547176688,9.725623366307513,10.171397410325557,9.10854369389522,2.4297960913583623,7.324688588696815,2.2109805624251764,1.6241313985857555,3.916548295160335,6.417613017344584,7.259755992104424,1.4459597050136495,1.7451162950857704,11.571429721707863,5.952346536468366,0.6517989258536625,3.370575437757093,6.367542362086321,7.720786264348533,6.332759366158383,7.2837632455955035,9.271495043516802,7.13553097335968,4.565257548643129,4.159338093048496,1.484526446659293,6.33391615506978,7.399926186096993,5.997588322956409,6.508946913020244,1.4451294474753626,3.7359963815394304,7.4859508918770015,0.7169914115931582,5.580349061312919,7.495009056507637,5.35064791053061,4.810967177020808,6.888685061370914,1.9254756349393747,7.685345752503096,3.534798582027415,4.208749445942644,4.268677765419365,9.183209809611393,3.9686572601190546,1.392799377384518,3.766819550250413,6.003843449281486,5.214949736123711,2.0872826748853566,5.618066153412785,6.569621682387396,3.8194516333818003,5.195328467984805,5.723244285442066,6.590323957854359,9.749274676782616,3.666475413316432,3.9817459072249077,8.15204139067361,10.216652349203192,7.710126873956611,4.580082492408897,7.283878924486642,8.28436548522997,6.902570308325152,7.092787312397215,3.2072246749184967,6.221346613104336
1,1,11.183504676865464,3.8596737637789404,3.8269495828517694,7.5350009424153175,7.823423473804997,3.0082555322885987,11.698799689106508,5.7355265201884,4.80170662611174,7.77742653820821,6.644451840506045,3.6041167238329583,4.448332106122178,7.7769843279439606,4.0388170254058595,4.490042683128902,7.667931962792201,9.166369728170139,9.996074891984707,10.428416151962917,5.349633545428561,4.995093097170269,9.319285105488378,9.64610342334953,11.064583048537495,7.383132474596211,9.770188244870567,7.363123599322289,8.88484914623386,10.027369915617584,10.473092023231056,10.975477809743953,11.421251853761998,11.244027209912137,6.551521845394179,4.081761286200139,7.596887776976898,6.846008042634454,9.784580117729421,7.667467460781024,7.089084474587926,5.701649563382091,6.72502314613444,10.45051726691273,11.820378359037452,6.147228133893397,10.053575741194113,5.2466299072911875,1.7145204711248088,4.294984331050824,3.2995967808749755,9.121406109543871,3.837864849358536,10.433289371212215,10.027369915617584,6.265696626153164,8.343723876454531,3.551907458958331,6.559785636762068,3.3579648851910306,7.826462996217911,4.71309263424758,0.9443676186096992,7.375694927734351,11.448380883882006,0.859156678099925,3.838490494032751,6.888872508813137,4.269065812693402,6.181165493307815,6.8685446880916,9.4028304045965,10.076781268511729,5.245774018127514,9.03312087563846,9.83668908268814,6.460419307500797,9.634851372819499,4.882930994486353,3.7403157246655976,6.666784986391937,4.109611574724214,4.481209636662648,9.687483455950886,11.063360290553891,11.59127610801115,2.5172510677254856,10.76501277956595,10.349475716753451,9.849777729793995,1.5161890122658979,11.466506792639633,4.544962712457695,10.448114314977982,3.5044791394816093,2.3258505298238203,3.475156896616004,3.0936129096399765,9.890224978355516,7.471201056540776
2,2,4.837778141971243,7.856976125823836,8.270338254605408,6.977788073578817,5.349259763836935,8.542989905799892,5.353073154212286,6.634272771239555,6.743253367840233,1.4266917131660597,4.880934368540312,8.213112673518335,6.251065369447517,6.546501076010455,7.8117046946781485,7.944501757449224,6.587715279762719,5.47689586000058,3.650348357090484,5.644242334331672,7.235535426530959,6.880994978272667,2.940753481758568,3.3003768884553084,5.896119268354315,6.586301501443656,3.4244617099763466,6.748248738613345,4.729069913753465,3.6816433807233606,5.284924953707732,5.807014029560772,6.252788073578817,5.189934357148479,5.603336383237849,8.085665811243532,3.7707691248172126,4.7976716904652426,3.4388535828351996,1.1497833480391546,4.498306034357769,6.600395814433245,4.918656586965257,5.339589106921678,5.47465182414323,7.045974384944552,5.269401923562869,6.650456217041355,8.48176348689525,7.212683175504658,8.04474046814222,4.53072418921214,8.015454782705953,4.087562836317994,3.6816433807233606,7.164442877204319,1.4879386373710133,8.160903408643708,4.971263038471258,7.3888707223665175,5.760432019751368,6.515825897572919,8.122863798202989,5.239758275649232,5.102654348987784,8.131921962833625,6.756189338486585,2.524401980522036,7.171598916325948,7.079911744358971,9.174981229365248,3.0571038697022797,3.7310547336175075,7.048507281452852,4.547461511137071,3.4909625477939192,7.359165558551953,3.2891248379252778,6.286757304236519,6.402376621265032,5.260822966764843,7.083917708501621,6.852535537342431,3.341756921056665,4.717633755659669,5.24554957311693,7.470247767200632,5.041017150923152,5.565301899122208,3.5040511948997723,8.788954296999599,6.298043012456452,7.092839688940808,4.1023877800837605,8.044856147033359,9.045342707776687,7.663547530871869,7.853764534943931,5.976702613079482,0.60291581745726
3,3,8.383045767208918,6.306966106188458,6.7203282349700295,4.123493481799993,4.411916013189672,6.992979886164514,8.89834077944996,2.3240190595730756,5.193243348204854,7.222697529214875,5.032244947204029,6.663102653882958,1.1341025151097137,7.753970261100823,5.490756588622251,4.1305224760875054,4.256424502176875,9.143355661327004,7.195615982328159,7.0169086913475915,3.52685106938248,3.172310621124187,6.518826195831831,6.845644513692983,10.50985403954416,3.9716250139808866,6.969729335214022,7.340109532479152,7.5042268103694685,7.2269110059610355,10.450077956387918,10.420748800750617,10.866522844768664,9.803669128338324,3.1400143847788535,6.5356557916081535,4.4784271036574,3.4345005820191297,6.9841212080728745,7.112738451787689,6.115829470466154,2.2901421027667657,3.313515685519115,10.83552760759069,9.019919449380904,2.735720673278073,6.642068280578788,5.223615840448051,5.999238585382827,4.891735069448759,6.494730448506841,8.127568521878533,5.694506676650055,7.632830461555669,7.2269110059610355,2.8541891655378393,7.788994867461195,6.61089338900833,4.853661801318139,5.067922616310621,4.414955535602586,1.398863043235115,6.044926595167377,3.964187467119026,8.647921974225458,6.053984759798013,3.9096236138209868,5.393277005894756,5.7447585397326435,2.769658032692491,5.361001948003529,6.602371494939954,7.276322358855182,1.9315444271150493,8.039283287973124,7.036230173031594,3.0489118468854723,6.834392463162953,4.859916927643216,3.7739254394140866,3.255277525776612,4.177041856703163,5.425695160749127,6.88702454629434,8.262901380897345,8.790817198354604,5.149299661144735,8.605348155144345,6.937968256138127,7.049318820137447,6.711017093963985,10.911777783646297,5.54282966930543,7.647655405321435,6.494846127397981,6.610568644081839,6.1135375112364905,5.708833020575723,6.478717517740192,6.916472047547441
4,4,6.945763092323561,7.283605442810924,6.1776320572408565,8.338439878045243,6.259581697051794,7.9696192227869815,7.172484010008244,6.538965455818326,6.16988268482732,1.9926101434956773,3.0677507808584057,7.639741990505424,6.675090901653265,5.225340771164991,8.235730226883899,8.368527289654972,7.498037212977577,4.155735555155116,5.758333307442802,7.7522272846839915,7.659560958736708,7.305020510478415,5.048738432110886,5.408361838807627,3.8880244385897322,7.496623434658514,5.532446660328665,5.42708843376788,3.190180213627947,5.789628331075679,3.9637646488622664,4.364592006661116,4.88065174750726,3.650276588539401,5.3263101126341645,6.011357450880485,4.681091058032071,5.7079936236801005,5.546838533187518,2.0665639071503428,2.8380239984507103,6.505088499012017,5.828978520180115,4.018428802076214,7.294062679939188,6.950667069523324,7.377386873915187,5.2952208151581805,8.905789019100997,7.636708707710407,7.4713697851293075,3.209563884366676,8.439480314911702,6.1955477866703115,5.789628331075679,7.06913556178309,3.0462683978111107,7.587532725630796,2.9978582576294217,7.8128962545722676,7.578719071172033,6.939851429778667,8.546889330408739,6.15008020886409,6.922065204783742,8.555947495039375,7.180214870692333,3.1327272877908543,5.816363514442774,6.984604428937742,9.599006761570996,5.1650888200545975,5.839039683969826,7.472532813658601,3.2263012062916063,5.598947498146238,7.2638582431307235,5.3971097882775965,4.931521902353346,6.307069305843804,6.171144899979701,7.50794324070737,5.497300135459257,5.449741871408984,6.825618706011989,7.0649604289128884,7.8942732994063824,3.719856846077688,7.673286849474525,5.612036145252091,9.212979829205345,4.722166851007245,7.516865221146557,6.210372730436079,8.468881679239107,9.469368239982437,7.309824860916069,8.27779006714968,8.0846875634318,2.173745577897358
5,5,8.903812458316246,7.663412019834217,5.485449185173218,9.375592168218027,8.217631063044479,8.132244041035456,9.130533376000928,7.57611774599111,6.332507503075794,3.674587641517641,3.410555957721799,7.802366808753899,7.96354530428623,2.8488258126519774,9.060807121760059,8.656843954664645,9.50852318859491,1.7792205966421015,7.716382673435487,9.710276650676674,8.94801536136967,8.593474913111379,7.00678779810357,7.366411204800311,3.0708660848546607,9.22372370039892,7.490496026321349,3.0505734752548666,1.3248192323146963,7.747677697068363,2.2826635453042865,3.997159498096528,3.8905357165049024,2.948622986234523,6.621156939076474,5.319174578812847,6.639140424024755,7.6660429896727855,7.504887899180202,3.584041879486829,2.3888172584206364,7.542240789184801,7.787027886172799,1.78957463411502,9.252112045931872,7.987819359696108,9.335436239907871,4.603037943090543,8.071017622130812,8.461785602586568,7.633994603377783,0.9536867856802582,9.264557209787863,8.153597152662996,7.747677697068363,8.106287851955873,5.004317763803796,7.750157543879271,2.9242822885986386,8.637973149448428,9.66705422202062,8.22830583241163,8.965688367073874,8.108129574856774,8.880114570776426,8.974746531704508,8.005291765568494,5.576124891777582,5.124180642375135,8.021756719110526,10.887461164203959,7.123138186047283,7.79708904996251,8.760987216291564,0.8654015517748477,7.556996864138922,8.301010533303508,7.3551591542702806,4.2393390302857075,7.344221596016586,6.613774668497645,8.276412846259957,4.805117263391619,7.407791237401668,8.783668072004673,9.023009794905573,8.719350194282542,1.4314664189460689,9.631336215467211,7.570085511244775,9.63177886587048,3.732050820004888,5.474770402773808,8.168422096428763,7.077092213785361,8.63459684301225,6.27260258863882,7.443018670179494,10.042736929424484,4.131794943890042
6,6,4.837778141971243,7.856976125823836,8.270338254605408,6.977788073578817,5.349259763836935,8.542989905799892,5.353073154212286,6.634272771239555,6.743253367840233,1.4266917131660597,4.880934368540312,8.213112673518335,6.251065369447517,6.546501076010455,7.8117046946781485,7.944501757449224,6.587715279762719,5.47689586000058,3.650348357090484,5.644242334331672,7.235535426530959,6.880994978272667,2.940753481758568,3.3003768884553084,5.896119268354315,6.586301501443656,3.4244617099763466,6.748248738613345,4.729069913753465,3.6816433807233606,5.284924953707732,5.807014029560772,6.252788073578817,5.189934357148479,5.603336383237849,8.085665811243532,3.7707691248172126,4.7976716904652426,3.4388535828351996,1.1497833480391546,4.498306034357769,6.600395814433245,4.918656586965257,5.339589106921678,5.47465182414323,7.045974384944552,5.269401923562869,6.650456217041355,8.48176348689525,7.212683175504658,8.04474046814222,4.53072418921214,8.015454782705953,4.087562836317994,3.6816433807233606,7.164442877204319,1.4879386373710133,8.160903408643708,4.971263038471258,7.3888707223665175,5.760432019751368,6.515825897572919,8.122863798202989,5.239758275649232,5.102654348987784,8.131921962833625,6.756189338486585,2.524401980522036,7.171598916325948,7.079911744358971,9.174981229365248,3.0571038697022797,3.7310547336175075,7.048507281452852,4.547461511137071,3.4909625477939192,7.359165558551953,3.2891248379252778,6.286757304236519,6.402376621265032,5.260822966764843,7.083917708501621,6.852535537342431,3.341756921056665,4.717633755659669,5.24554957311693,7.470247767200632,5.041017150923152,5.565301899122208,3.5040511948997723,8.788954296999599,6.298043012456452,7.092839688940808,4.1023877800837605,8.044856147033359,9.045342707776687,7.663547530871869,7.853764534943931,5.976702613079482,0.60291581745726
7,7,8.071252992945348,5.164738883641741,5.578101012423312,4.301060035998193,4.145262498912597,5.850752663617797,8.58654800518639,2.501585613771277,4.051016125658137,5.614559902403055,4.2449114492069215,5.520875431336242,2.5086607449844864,6.966636763103716,4.946349072704752,4.169542793940373,3.9273958061482763,8.356022163329895,6.928962468051084,7.194475245545792,3.8649521957241273,3.5104117474658345,6.207033421568262,6.533851739429414,8.901716412732341,3.878643755618245,6.703075820936947,6.552776034482044,6.71689331237236,6.915118231697466,9.66274445839081,8.812611173938798,9.258385217956842,8.195531501526506,2.430821822403387,5.393428569061437,4.166634329393831,3.1227078077555603,6.672328433809304,5.50460082497587,5.328495972469045,2.467708656964967,3.0017229112555457,9.640169702072486,8.708126675117336,2.9132872274762738,6.8196348347769895,4.4362823424509426,5.789526244713153,4.347327553531262,5.352503225960124,7.340235023881425,5.150099160732557,7.321037687292099,6.915118231697466,3.031755719736041,6.180857240649376,5.468666166461613,4.06632830332103,4.523515100393122,4.592522089800788,2.7734212731098875,5.6569964239999,4.035761010724894,8.336129199961889,5.666054588630535,3.8908337165131877,4.605943507897647,4.957425041735535,2.9472245868906923,5.856391284625995,6.290578720676385,6.964529584591613,3.3061026569898218,7.251949789976015,6.724437398768025,3.226478401083674,6.522599688899383,4.072583429646107,2.2111298990062176,2.7460809503688886,3.7891116855356857,4.638361662752018,6.620371032017266,7.951108606633776,8.479024424091037,4.604892145227236,7.818014657147236,7.115534810336328,6.782665305860373,6.3230869227965085,9.30364015683448,4.812887581244485,7.335862631057866,5.352618904851264,6.3531054655945915,4.971310288689773,5.161527292761836,6.656284071938392,5.308334420735623
8,8,8.635256145376367,4.8047764663360955,3.4002959805468906,7.235939525934026,6.62712988450752,5.93867035554948,9.150551157617409,5.43646510370711,4.138933817589819,4.725638331034254,1.6166477147981988,5.608793123267923,5.769971618800254,3.196335040037116,6.867233436274083,6.463270269178669,7.36887054631091,3.9953781778037376,7.447826360495607,9.474525426572384,6.754441675883696,6.399901227625404,6.77103657399928,7.097854891860431,5.27035699934963,7.084071058114921,7.2219397133814685,2.782474311415446,2.4746527303118047,7.479121384128483,4.482154459799255,5.856108663592943,6.090026630999871,5.148113900729491,5.431062526667246,3.2340213741865194,5.048639245487799,6.075541811135828,7.236331586240322,4.651603659471171,1.2492744955489,5.4025881469008,6.196526707635842,4.064327664342732,9.272129827548353,5.848166717412107,9.09968501580358,2.517884738464215,5.877443936644836,6.268211917100592,5.440420917891807,3.2284398159079704,7.070983524301888,7.885040839723116,7.479121384128483,5.966635209671874,7.325012220330488,5.556583858393296,0.7727889486787545,6.444399463962452,7.527401579736621,6.034732146925655,6.772114681587897,6.517628396319816,8.900132352392907,6.781172846218533,5.8117180800825174,4.1801498077887,3.039027437748808,5.882104076826525,8.693887478717983,6.854581873107403,7.52853273702263,6.567413530805588,3.14015458200256,7.2884405511990416,6.161357891019507,7.0866028413304,2.15418582565938,5.204568953732586,5.131633568212227,6.0828391607739825,2.719964058765291,7.139234924461787,8.515111759064792,9.043027576522052,6.525776508796566,3.706219449173781,9.39558499136292,7.301529198304895,7.4382051803845055,5.931541734499857,3.389617198147481,7.899865783488884,4.21845666028724,6.441023157526273,4.079028903152845,5.249444984693518,9.591163561874225,6.452489400416734
9,9,9.326830978330662,3.614679827341229,2.796046179386167,6.059348112683875,6.347770644073554,4.025625851798459,9.842125990571704,4.259873690456957,2.500957069357625,5.920752839673407,4.787778141971243,3.970816375035729,2.9726792763907355,5.866942349037494,3.418353020492873,3.014389853397459,6.192279133060758,7.256327749263672,8.139401193449903,8.952763322231473,3.8739807156971184,3.519440267438826,7.462611406953575,7.7894297248147275,9.20790935000269,5.907479644864768,7.913514546335765,5.453081620415823,6.974807167327393,8.170696217082778,8.971074451845684,9.11880411120915,9.564578155227194,8.501724438796856,4.3053127368983555,3.0508578827345367,5.7402140784420945,5.3703552129030125,7.927906419194617,5.810793762246221,5.179042495681459,4.225996733650647,5.249370316402997,8.540475288006263,9.96370466050265,4.671575304161954,8.57792291146267,2.635804480925928,2.9005057197360404,2.8193315013193816,3.802444169659612,7.211364130637405,3.6221031085206774,8.576615672677413,8.170696217082778,4.790043796421722,6.487050177919726,3.918607110161101,4.6091949960853515,2.995519048181242,6.350810166486468,3.2374398045161366,3.266756921056665,5.900042098002908,9.591707185347202,3.2758150856873005,2.362837664301308,5.0321988102783335,3.156947180210521,4.705512663576373,5.392891858360155,7.546156706061698,8.220107569976927,3.770121188396071,7.123078896731994,7.980015384153337,4.984766477769355,7.778177674284696,2.6779492421323856,2.264662894934155,5.191132156660494,2.6339587449927713,2.837883801227004,7.830809757416082,9.20668659201909,9.734602409476349,3.0768960930153564,8.854970800659483,8.873822887022008,7.9931040312591914,3.9328474198532732,9.609833094104829,2.654644528191681,8.59144061644318,3.8025598485507515,3.511835778435052,2.444253493150401,2.6226001549289357,8.414572148624073,5.614527358005973
