X,Y,FAIRMARKETBUILDING__asmt,PROPERTYZIP__asmt,FAIRMARKETLAND__asmt,SALECODE__asmt,LEGAL1__asmt,PROPERTYFRACTION__asmt,PIN,NEIGHDESC__asmt,LOCALLAND__asmt,PROPERTYADDRESS__asmt,CLASSDESC__asmt,LEGAL2__asmt,COUNTYBUILDING__asmt,PROPERTYHOUSENUM__asmt,PROPERTYUNIT__asmt,FAIRMARKETTOTAL__asmt,LOTAREA__asmt,SALEDATE__asmt,LEGAL3__asmt,PROPERTYCITY__asmt,NEIGHCODE__asmt,LOCALTOTAL__asmt,SALEPRICE__asmt,COUNTYLAND__asmt,PROPERTYSTATE__asmt,LOCALBUILDING__asmt,USEDESC__asmt,COUNTYTOTAL__asmt,MUNIDESC__asmt
-79.9313284958224,40.3786682536629,0,15207,23800,H,LA VILLE NO 2 PLAN PARCEL A2 = 100X100X100     , ,0134J00100000000,13103,23800,GODARD ST,RESIDENTIAL,(OR .23 ALD) NEAR GODARD ST                    ,0,0, ,23800,198634,05-25-2017,,PITTSBURGH,13103,23800,36500,23800,PA,0,VACANT LAND,23800,31st Ward - PITTSBURGH
-80.0066559546213,40.4900043701326,0,15214,35400,H,JOHN LIGHTHILL EST PARTN PLAN PT PURPT A LOT   , ,0116C00152000000,WARD 26 - SUMMER HILL,35400,COLBY ST,RESIDENTIAL,184X235X259.90 COLBY ST (1.293 ALD)            ,0,3772, ,35400,63510,07-31-2015,,PITTSBURGH,12601,35400,125500,35400,PA,0,VACANT LAND,35400,26th Ward - PITTSBURGH
-79.9946086163614,40.4754928883953,0,15212,17900,N,7.76 A LD WILLIAMS RD                          , ,0078K00180000000,93702,17900,WILLIAMS RD,RESIDENTIAL,,0,0, ,17900,338022,01-16-1962,,PITTSBURGH,93702,17900,0,17900,PA,0,VACANT LAND,17900,Reserve  
-80.0035550529984,40.3827077235768,0,15234,500,H,OVERBROOK TER PLAN, ,0139D00024000000,13202,500,GEORGETTE ST,RESIDENTIAL,LOTS 310-313=180.00X260.59X180.00X262.39,0,0, ,500,43560,03-27-2018,,PITTSBURGH,13202,500,1,500,PA,0,VACANT LAND,500,32nd Ward - PITTSBURGH
-79.9800660677991,40.3925888055151,0,15210,21300,14,CARRICK AMENDED 2ND PLAN IRREG LOT 351.50X199.9X273.93, ,0094A00209000000,12901,21300,BECKS RUN RD,RESIDENTIAL,,0,0, ,21300,62509,02-28-2018,,PITTSBURGH,12901,21300,11000,21300,PA,0,VACANT LAND,21300,29th Ward - PITTSBURGH
-80.0163185161157,40.4950268395885,0,15214,15000,36,3.80 A LD LT SIDE LR 1021                      , ,0162M00325000000,WARD 26 - PERRY NORTH,15000,IVORY AVE,RESIDENTIAL,0.20 A LD RT SIDE LR 1021                      ,0,0, ,15000,174240,09-22-2014,,PITTSBURGH,12602,15000,5000,15000,PA,0,VACANT LAND,15000,26th Ward - PITTSBURGH
-79.9024908042473,40.3677128594248,0,15207,27600,H,STEPHEN GRABOWSKI REV PLAN #4-LOT= 575.01X     , ,0184S00020000000,13102,27600,MCELHINNY AVE,RESIDENTIAL,303.95X574.11 MC ELHINNEY AVE                  ,0,1879, ,27600,174676,10-10-2000,,PITTSBURGH,13102,27600,25000,27600,PA,0,VACANT LAND,27600,31st Ward - PITTSBURGH
-80.0025948718367,40.4022140030706,0,15226,4200,N,IRREG LOT 218.94X218.26X221.52 TIMBERLAND AVE  , ,0061D00065000000,11903,4200,TIMBERLAND AVE,RESIDENTIAL,(1.044 ALD)                                    ,0,0, ,4200,45477,02-27-1974,,PITTSBURGH,11903,4200,0,4200,PA,0,VACANT LAND,4200,19th Ward - PITTSBURGH
-80.0045281088723,40.4759691419692,0,15214,34800,H,192-196 INCL LOT 248.1XAVG219X273.56 RR IN ALL, ,0077L00206000000,WARD 26 - SUMMER HILL,34800,BOYER ST,RESIDENTIAL,BOYER ST,0,1635, ,34800,57107,02-03-2005,,PITTSBURGH,12601,34800,1,34800,PA,0,VACANT LAND,34800,26th Ward - PITTSBURGH
-79.9147868056385,40.4236414305196,0,15217,3000,N,BOULEVARD PARK PLAN 4 IRREG LOT 369.05X331.9X12, ,0128N00120000000,11403,3000,ANITA AVE,RESIDENTIAL,5.38 END OF ZAMA RD (PARCEL A),0,0, ,3000,83200,01-31-1958,,PITTSBURGH,11403,3000,0,3000,PA,0,VACANT LAND,3000,14th Ward - PITTSBURGH
